الفريق الاول,وقت المباراة,الفريق الثاني,البطولة
فلادلفيا,جارية حاليا,سياتل سيهوكس, دوري كرة القدم الأمريكية NFL
الشياطين السود,جارية حاليا,نهضة بركان, كأس الإتحاد الأفريقى
يانغ أفريكانز,جارية حاليا,, دوري أبطال أفريقيا
قيصري سبور,14:00,فنربخشة, الدوري التركي الممتاز
ساجرادا اسبيرانسا,16:00,الزمالك, كأس الإتحاد الأفريقى
فيوتشر,16:00,إتحاد الجزائر, كأس الإتحاد الأفريقى
,16:00,, كأس الإتحاد الأفريقى
الملعب المالي,16:00,سيخوخون يونايتد, كأس الإتحاد الأفريقى
جالطة سراي,17:00,فاتح قرا جمرك, الدوري التركي الممتاز
,17:00,باناثينايكوس, دوري السوبر اليوناني
يونيون برلين,17:30,كولن, الدوري الألماني 
برشلونة,18:00,ألميريا, الدوري الإسباني
النادي الإفريقي,19:00,ريفرز يونايتد, كأس الإتحاد الأفريقى
,19:00,أبو سليم, كأس الإتحاد الأفريقى
سوبر سبورت يونايتد,19:00,الهلال, كأس الإتحاد الأفريقى
فولفسبورج,19:30,بايرن ميونخ, الدوري الألماني 
باير ليفركوزن,19:30,بوخوم, الدوري الألماني 
جلاسكو رينجرز,19:45,سانت جونستون, الدوري الإسكتلندي للمحترفين
ليفربول,20:00,وست هام يونايتد, كأس رابطة المحترفين الإنجليزية
انتر ميلان,20:00,بولونيا, كأس إيطاليا
باريس سان جيرمان,20:00,ميتز, الدوري الفرنسي 
مونبلييه,20:00,مرسيليا, الدوري الفرنسي 
أتلتيك بيلباو,20:30,لاس بالماس, الدوري الإسباني
فياريال,20:30,سيلتا فيغو, الدوري الإسباني
